"25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over"
257,41,116,300,43,99,218,31,60,0,14,28,0,13,30
19,21,41,54,135,13,41,154,59,0,35,56,0,0,62
17,36,150,81,92,17,109,12,51,20,59,20,36,78,48
92,83,90,94,237,95,115,79,24,23,20,68,68,0,17
160,86,127,75,104,138,91,23,103,40,51,65,10,7,0
86,178,71,34,112,133,138,62,68,0,18,146,0,17,33
29,15,71,257,30,34,247,21,0,18,31,23,18,130,37
36,181,18,193,142,184,197,36,119,153,67,93,0,41,35
67,60,23,51,59,66,103,54,99,47,83,119,27,30,28
38,21,71,11,110,81,125,41,49,52,26,99,77,57,10
42,162,129,133,119,82,95,31,136,39,121,420,90,45,92
82,65,206,121,161,96,165,66,260,20,116,155,196,43,30
60,98,99,183,341,257,277,62,53,103,51,43,0,54,14
9,21,69,58,101,67,165,42,55,12,30,61,78,75,0
230,180,120,195,254,168,173,121,117,39,26,121,90,156,61
32,28,81,58,83,135,111,18,105,41,44,34,40,33,9
39,86,108,146,217,144,126,38,63,72,52,52,34,8,11
41,61,74,94,322,122,96,39,67,21,60,75,65,21,49
57,42,97,66,78,146,107,43,33,19,48,100,48,0,5
55,52,64,44,94,115,98,32,49,19,119,104,68,65,81
147,173,259,260,163,164,183,66,164,66,70,74,6,14,55
91,103,80,105,52,159,162,72,83,40,108,45,24,23,23
107,61,43,281,193,164,132,65,121,41,80,63,47,4,62
19,43,287,64,45,114,25,27,110,10,97,59,64,3,5
51,32,45,135,29,18,33,10,39,20,44,34,14,10,9
9,17,35,95,100,50,0,58,57,6,0,0,0,0,0
53,71,54,105,139,297,97,30,35,20,22,58,33,33,6
86,197,80,164,67,121,195,96,82,34,19,112,14,8,33
19,24,318,52,27,21,63,17,41,0,0,84,0,111,35
39,69,18,184,108,252,61,39,57,0,32,73,36,14,80
63,124,66,0,34,99,74,13,59,9,0,9,2,4,0
126,69,52,162,17,89,61,0,10,0,0,64,94,24,12
0,190,67,83,61,0,0,0,0,0,0,0,0,0,0
103,100,74,5,16,46,15,8,8,1,0,34,18,5,0
177,50,110,7,30,159,153,9,57,50,0,11,13,10,37
50,70,70,216,48,22,60,26,7,14,59,19,10,14,18
74,112,114,0,23,0,133,163,71,0,0,21,0,0,0
110,93,211,43,106,127,99,69,53,0,196,22,19,17,16
269,64,215,99,94,90,63,17,53,97,114,99,125,16,193
190,136,240,123,289,171,292,101,194,35,95,60,1,46,92
70,56,87,132,432,114,108,34,122,54,83,94,35,115,97
99,64,0,18,31,21,14,37,60,41,15,52,0,68,16
65,62,0,106,63,57,14,24,31,0,6,40,0,9,2
18,67,89,19,104,42,47,13,43,55,19,30,38,24,11
48,139,76,208,151,95,101,75,103,41,21,35,19,16,149
34,71,151,152,89,97,152,28,67,44,68,86,94,20,13
307,147,224,125,141,106,10,8,35,61,0,9,72,0,0
0,29,24,0,0,0,7,14,56,12,22,0,0,0,6
174,398,643,330,211,180,116,18,63,9,67,78,32,0,0
73,41,12,44,53,118,78,24,66,0,0,70,47,12,20
153,325,104,123,103,275,221,38,247,125,65,70,80,0,21
40,7,12,13,161,54,48,14,23,17,10,10,9,43,61
157,406,151,107,29,100,75,0,88,18,72,61,1,33,32
44,108,91,152,106,445,73,134,70,27,69,83,32,15,57
64,100,68,37,24,105,124,20,75,16,146,68,44,17,34
101,31,113,113,208,72,88,51,27,8,37,46,17,7,23
60,107,94,81,126,257,138,116,106,24,70,93,23,55,11
93,145,191,156,71,148,119,58,85,25,86,68,42,0,18
75,195,110,14,65,174,94,0,53,0,0,83,20,118,0
331,106,144,155,90,154,218,23,23,46,212,25,33,34,12
20,205,282,189,95,218,124,0,25,57,47,30,0,0,0
54,105,169,222,74,41,203,27,12,47,13,70,0,0,8
20,19,64,110,164,101,28,13,18,120,0,0,75,48,18
11,37,89,61,30,9,54,0,29,5,73,5,0,0,0
32,55,27,108,146,62,108,40,30,40,89,61,62,8,50
300,130,87,50,108,91,46,73,84,32,56,94,49,0,0
105,37,57,73,14,105,125,29,0,22,35,47,19,27,0
177,58,137,52,76,95,129,191,65,10,25,70,10,0,0
0,101,32,57,46,10,66,0,33,41,18,43,23,53,0
82,52,59,64,13,83,82,46,78,119,0,52,14,0,11
72,204,36,133,24,220,46,34,0,0,7,42,15,0,18
73,267,45,12,22,1,177,36,7,20,218,0,0,19,0
22,76,62,122,257,53,317,42,39,64,52,48,0,0,20
37,31,87,70,37,0,98,51,30,21,32,64,67,0,0
203,25,329,72,19,0,190,18,78,66,24,127,22,3,9
501,226,250,135,245,177,292,37,109,61,49,37,36,44,25
57,94,291,121,168,151,113,12,18,43,24,33,12,0,0
68,203,145,75,186,89,319,48,30,104,81,162,92,19,92
93,65,92,146,33,187,207,101,150,38,66,28,0,0,83
272,62,96,44,141,181,170,26,49,44,11,81,22,39,0
76,84,96,41,49,121,73,63,39,35,82,32,22,0,38
83,26,95,87,173,91,87,42,61,53,110,54,113,22,28
202,117,11,132,126,80,176,10,35,9,51,16,15,31,23
46,33,91,28,88,19,88,16,54,84,32,22,0,0,21
110,141,18,45,99,40,99,23,37,0,31,23,37,0,7
65,33,106,40,14,12,23,45,122,53,0,23,0,0,0
80,138,188,194,67,205,287,72,196,105,77,38,43,28,123
121,151,198,94,192,135,127,58,112,148,67,164,57,27,39
56,0,71,106,54,122,97,17,31,0,21,29,51,87,9
132,141,98,38,72,158,135,106,81,153,15,99,44,16,30
52,80,54,160,89,76,72,19,46,0,33,79,57,8,0
73,35,23,96,144,112,150,8,80,17,31,41,37,58,65
175,440,72,321,241,84,179,37,111,36,19,39,76,15,56
82,94,72,33,173,160,127,64,11,0,55,37,18,29,10
78,77,56,72,44,46,53,40,61,52,43,31,64,47,12
156,68,84,60,71,54,163,22,54,20,35,32,13,8,30
73,85,46,37,59,224,124,42,30,0,90,95,51,37,0
178,184,144,104,142,87,233,77,93,86,28,62,28,13,0
265,168,175,223,59,164,272,58,44,187,41,92,84,0,0
166,368,129,170,190,172,120,25,59,98,34,85,0,0,0
164,66,146,115,100,163,119,70,128,13,46,138,62,0,54
140,140,102,104,74,173,68,64,91,12,13,107,32,0,13
94,166,114,50,260,125,190,61,85,49,60,124,47,200,41
0,69,0,42,78,32,137,14,67,27,119,179,169,214,107
76,44,56,9,162,65,155,49,113,65,25,39,10,6,15
161,101,179,628,50,223,173,80,135,27,63,26,15,25,11
113,149,40,43,70,53,83,75,44,25,88,114,138,95,332
94,21,30,214,143,50,214,0,60,92,0,269,54,0,0
0,15,51,41,89,14,25,23,0,13,31,77,46,44,0
96,92,83,72,76,8,274,38,60,25,22,89,20,39,0
