"Less than high school","Some high school","High school graduate or equivalent (for example GED)","Some college, but degree not received or is in progress","Associate’s degree (for example AA, AS)","Bachelor's degree (for example BA, BS, AB)","Graduate degree (for example master's, professional, doctorate)"
13,76,219,87,81,131,51
12,46,435,285,216,664,292
0,8,110,127,24,192,61
37,147,267,89,76,272,442
52,64,306,322,69,561,132
34,0,384,154,80,220,70
31,23,240,204,172,228,44
0,40,340,350,85,315,231
45,59,490,239,94,239,139
72,70,208,144,68,338,101
24,81,589,303,103,455,51
0,0,333,166,75,503,215
0,0,196,175,143,384,147
0,121,336,258,18,31,34
0,9,189,32,48,109,16
8,89,262,123,130,155,151
0,2,173,443,90,371,121
0,19,296,32,92,212,44
21,70,337,148,46,275,198
30,36,242,79,47,9,80
0,16,397,129,44,45,124
33,35,247,270,85,72,109
28,0,428,216,14,173,38
0,226,306,334,14,109,185
0,48,223,121,69,155,9
55,67,125,270,91,382,195
35,178,1021,473,2,433,82
0,79,354,92,102,389,121
0,100,274,270,25,643,401
0,83,553,263,72,202,116
21,33,400,165,109,325,185
8,33,367,133,83,123,104
70,27,467,189,137,177,58
30,0,432,196,126,193,57
15,11,151,138,82,169,56
7,28,217,172,78,154,54
39,35,202,68,33,107,52
135,49,324,247,156,565,365
58,113,402,443,85,444,145
55,26,199,111,91,210,59
7,46,343,172,99,385,266
20,83,308,114,72,177,51
7,10,315,128,64,303,143
10,66,729,292,246,475,83
7,0,366,165,94,259,74
12,21,202,192,49,199,101
65,88,242,165,60,161,89
84,36,267,128,23,311,144
27,48,344,489,177,272,102
6,163,710,341,84,468,60
211,33,406,385,106,443,32
25,12,315,214,124,326,368
30,33,150,187,110,363,260
73,20,533,182,193,380,285
44,56,492,199,61,245,157
11,51,107,164,50,365,141
117,24,320,230,57,835,314
31,85,428,426,15,260,217
50,29,135,63,114,572,278
53,14,54,69,59,127,93
0,12,291,247,123,198,123
0,37,161,227,83,467,470
0,0,339,156,31,125,94
107,199,547,403,94,342,157
22,0,114,68,44,10,92
21,35,255,306,181,446,280
13,32,174,85,88,69,39
57,25,238,124,65,110,104
12,18,133,111,111,80,44
146,33,484,197,156,111,31
31,39,290,154,104,195,142
15,15,183,166,63,137,59
148,95,570,200,137,594,307
10,40,374,182,47,351,112
0,23,114,183,49,151,60
113,18,702,189,110,182,27
0,16,174,132,11,258,393
0,72,576,184,104,125,202
16,16,129,173,0,178,106
14,173,84,273,67,107,68
0,0,291,158,46,247,129
15,16,258,259,41,294,170
15,0,447,132,56,183,84
42,20,308,127,57,189,226
47,0,499,130,35,176,106
0,11,161,54,73,67,99
0,12,244,194,111,175,74
0,0,209,0,0,29,0
21,7,243,149,29,371,281
0,33,567,398,94,338,242
16,45,287,265,37,457,136
42,16,292,187,69,294,75
6,9,155,98,64,63,92
0,0,128,240,59,466,269
37,0,58,172,168,570,583
0,9,356,169,67,434,281
43,13,64,130,51,368,161
52,0,523,112,116,559,344
66,13,220,453,14,678,178
8,49,205,22,19,514,319
0,41,62,181,23,664,292
0,72,256,60,38,207,131
0,97,488,311,95,740,608
26,0,38,63,39,324,740
0,13,300,272,76,664,583
59,49,288,76,16,491,543
0,196,299,326,88,965,628
0,65,170,45,27,156,0
250,48,510,261,125,353,0
18,57,712,242,183,492,182
22,10,184,0,25,542,441
0,14,0,15,0,481,424
188,23,48,123,96,312,584
0,74,159,327,33,845,450
20,90,164,245,88,420,156
18,0,182,174,44,172,94
15,141,450,99,72,147,221
33,11,381,144,82,880,502
14,45,43,104,85,449,751
38,7,190,39,74,264,134
22,27,73,43,48,309,201
28,58,261,118,109,461,99
8,183,64,149,87,1120,578
17,23,31,9,9,144,161
25,65,111,127,49,305,440
24,0,163,92,96,714,507
21,0,188,114,67,268,402
0,0,14,20,0,30,0
0,11,142,134,64,517,590
0,6,170,149,12,589,712
54,31,143,266,38,556,273
0,0,67,100,40,435,218
2,0,104,71,59,518,401
33,0,82,59,19,342,388
17,11,186,157,58,415,319
0,79,157,119,65,899,374
33,69,183,104,73,441,263
0,15,65,146,23,271,678
9,10,118,85,106,669,874
36,13,109,51,39,112,417
0,0,50,78,42,243,208
94,0,52,125,149,331,450
25,0,217,21,19,985,1086
0,29,39,130,0,206,264
0,23,97,0,61,360,335
9,17,35,59,0,263,510
0,0,118,77,51,549,914
0,7,111,75,18,367,428
0,0,65,195,35,403,327
0,0,0,44,69,108,161
0,0,173,108,101,462,404
15,6,30,177,100,485,634
15,12,201,209,130,641,571
17,0,84,89,6,357,562
0,0,6,0,0,7,6
7,5,117,38,51,151,299
0,0,0,8,0,43,1
8,15,96,91,41,188,286
86,454,2101,414,26,130,29
22,39,529,165,82,153,133
22,49,68,107,20,380,270
19,63,198,136,110,408,131
38,41,208,191,92,147,42
29,111,302,192,102,361,113
44,50,276,169,50,140,80
0,191,494,215,44,339,53
99,18,10,6,63,48,59
0,0,0,0,0,84,187
416,53,25,148,59,99,0
0,99,131,218,39,37,81
0,67,113,37,10,337,619
8,35,329,278,183,456,378
0,28,179,42,0,66,246
0,83,260,91,83,35,59
78,62,241,171,0,444,201
0,0,11,0,0,10,0
0,15,7,44,10,284,285
